,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
654,Celanese Production Sweden AB - Perstorp,SE224,-1,POINT (13.38349 56.12128),Chemical,cracker,43.56271,43.56271,100,chemical-olefins,1228029.6249417874,0,976323.1388455612,0,0,0,0,92579.51847912745,664217.1830540447,0,371078.38279835775,0,0,Chemical,3333230.7549272785,1002.9068083993997
655,Celanese Production Sweden AB - Perstorp,SE224,-1,POINT (13.38349 56.12128),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
656,Celanese Production Sweden AB - Perstorp,SE224,-1,POINT (13.38349 56.12128),Chemical,polymers,47.165769,47.165769,100,chemical-PE,29264.708862585,0,0,0,0,0,0,7529.7791920049995,0,0,0,0,0,Chemical,36794.48805459,0
657,"SLOVNAFT, a.s. - Bratislava",SK010,-1,POINT (17.176601 48.128198),Chemical,cracker,225,225,100,chemical-olefins,6342733.627267499,0,5042677.69935,0,0,0,0,478170.24371999985,3430660.4475974995,0,1916607.9458699997,0,0,Chemical,17216029.945305,5179.981499999998
658,"SLOVNAFT, a.s. - Bratislava",SK010,-1,POINT (17.176601 48.128198),Chemical,cracker,115.9091,115.9091,100,chemical-olefins,3267469.0945613836,0,2597743.260985463,0,0,0,0,246330.14487273703,1767310.0661627701,0,987343.5647050682,0,0,Chemical,8868864.606814897,2668.475527473999
659,"SLOVNAFT, a.s. - Bratislava",SK010,-1,POINT (17.176601 48.128198),Chemical,cracker,340.9091,340.9091,100,chemical-olefins,9610202.721828884,0,7640420.960335464,0,0,0,0,724500.3885927369,5197970.513760271,0,2903951.510575068,0,0,Chemical,26084894.5521199,7848.457027473998
660,"SLOVNAFT, a.s. - Bratislava",SK010,-1,POINT (17.176601 48.128198),Chemical,polymers,475,475,100,chemical-PE,294720.87500000006,0,0,0,0,0,0,75831.375,0,0,0,0,0,Chemical,370552.25000000006,0
661,"DIAKOL STRÁŽSKE, s.r.o. - Strážske",SK042,-1,POINT (21.822213 48.871066),Chemical,organic synthesis,43.406178,43.406178,100,chemical-PEA,213450.09734588998,0,0,0,0,0,0,187507.74397152,0,0,0,0,0,Chemical,400957.84131741,0
662,Borealis Agrolinz Melamine GmbH - Linz,AT312,-1,POINT (14.32553 48.288339),Fertilisers,fertilisers,554.8,554.8,100,fertiliser-ammonia,15203006.071571235,0,1124081.8118181182,0,0,0,0,0,0,0,0,3835974.6487833676,0,Fertilisers,20200870.987913277,37808.4557405574
663,Borealis Agrolinz Melamine GmbH - Linz,AT312,-1,POINT (14.32553 48.288339),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
664,Borealis Agrolinz Melamine GmbH - Linz,AT312,-1,POINT (14.32553 48.288339),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
666,EuroChem Antwerpen - Antwerpen,BE211,6,POINT (4.285118 51.35522),Fertilisers,fertilisers,0,0,100,fertiliser-ammonia,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
667,EuroChem Antwerpen - Antwerpen,BE211,6,POINT (4.285118 51.35522),Fertilisers,fertilisers,1062,1062,100,fertiliser-nitric-acid,3867874.6807727995,0,3220536.6647999994,0,0,0,0,0,0,0,0,2397089.4313464,0,Fertilisers,9502490.1643992,16989.38747999999
668,EuroChem Antwerpen - Antwerpen,BE211,6,POINT (4.285118 51.35522),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
