,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
790,Yara AB Köpingfabriken - Köping,SE125,-1,POINT (16.008401 59.500829),Fertilisers,fertilisers,0,0,100,fertiliser-ammonia,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
791,Yara AB Köpingfabriken - Köping,SE125,-1,POINT (16.008401 59.500829),Fertilisers,fertilisers,300,300,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,1951086,0,Fertilisers,2073786,122699.99999999999
792,Yara AB Köpingfabriken - Köping,SE125,-1,POINT (16.008401 59.500829),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
794,"Duslo, a.s. - Strážske",SK042,-1,POINT (21.819269 48.87333),Fertilisers,fertilisers,405,405,100,fertiliser-ammonia,841108.05,0,0,0,0,0,0,0,0,0,0,11473301.7,0,Fertilisers,13019919.75,705510
795,"Duslo, a.s. - Strážske",SK042,-1,POINT (21.819269 48.87333),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
796,"Duslo, a.s. - Strážske",SK042,-1,POINT (21.819269 48.87333),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
798,"Duslo, a.s. - Šaľa",SK023,-1,POINT (17.930052 48.186761),Fertilisers,fertilisers,1013,1013,100,fertiliser-ammonia,2103808.5300000003,0,0,0,0,0,0,0,0,0,0,28697418.82,0,Fertilisers,32565873.35,1764646
799,"Duslo, a.s. - Šaľa",SK023,-1,POINT (17.930052 48.186761),Fertilisers,fertilisers,0,0,100,fertiliser-nitric-acid,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
800,"Duslo, a.s. - Šaľa",SK023,-1,POINT (17.930052 48.186761),Fertilisers,fertilisers,0,0,100,fertiliser-urea,0,0,0,0,0,0,0,0,0,0,0,0,0,Fertilisers,0,0
802,Vetropack Austria GmbH - Pöchlarn,AT121,-1,POINT (15.21864 48.206824),Glass,Container,,191.9708029,100,glass-container,205669.839394944,0,0,0,0,0,0,8446.715327599999,0,0,0,908004.620344739,0,Glass,1187007.306447483,64886.1313802
