"Section";"Class";"Power_level";"Nb_customer"
"G";"46.69";"MV";257
"G";"46.71";"LV-a";0
"G";"46.71";"LV-b";1
"G";"46.71";"MV";39
"G";"46.72";"LV-a";0
"G";"46.72";"LV-b";3
"G";"46.72";"MV";55
"G";"46.73";"LV-a";6
"G";"46.73";"LV-b";8
"G";"46.73";"MV";136
"G";"46.74";"LV-a";2
"G";"46.74";"LV-b";5
"G";"46.74";"MV";29
"G";"46.75";"LV-a";3
"G";"46.75";"LV-b";1
"G";"46.75";"MV";49
"G";"46.76";"LV-a";3
"G";"46.76";"LV-b";0
"G";"46.76";"MV";28
"G";"46.77";"LV-a";1
"G";"46.77";"LV-b";0
"G";"46.77";"MV";5
"G";"46.90";"LV-a";9
"G";"46.90";"LV-b";1
"G";"46.90";"MV";34
"G";"47.11";"LV-a";26
"G";"47.11";"LV-b";60
"G";"47.11";"MV";3382
"G";"47.19";"LV-a";0
"G";"47.19";"LV-b";2
"G";"47.19";"MV";149
"G";"47.21";"LV-a";4
"G";"47.21";"LV-b";4
"G";"47.21";"MV";7
"G";"47.22";"LV-a";30
"G";"47.22";"LV-b";4
"G";"47.22";"MV";10
"G";"47.23";"LV-a";2
"G";"47.23";"LV-b";0
"G";"47.23";"MV";5
"G";"47.24";"LV-a";3
"G";"47.24";"LV-b";3
"G";"47.24";"MV";1
"G";"47.25";"LV-a";9
"G";"47.25";"LV-b";1
"G";"47.25";"MV";4
"G";"47.26";"LV-a";2
"G";"47.26";"LV-b";0
"G";"47.26";"MV";1
"G";"47.29";"LV-a";8
"G";"47.29";"LV-b";2
"G";"47.29";"MV";16
"G";"47.30";"LV-a";5
"G";"47.30";"LV-b";10
"G";"47.30";"MV";31
"G";"47.41";"LV-a";2
"G";"47.41";"LV-b";1
"G";"47.41";"MV";11
"G";"47.42";"LV-a";1
"G";"47.42";"LV-b";0
"G";"47.42";"MV";11
"G";"47.43";"LV-a";0
"G";"47.43";"LV-b";2
"G";"47.43";"MV";27
"G";"47.51";"LV-a";7
"G";"47.51";"LV-b";2
"G";"47.51";"MV";4
"G";"47.52";"LV-a";5
"G";"47.52";"LV-b";16
"G";"47.52";"MV";325
"G";"47.53";"LV-a";1
"G";"47.53";"LV-b";2
"G";"47.53";"MV";2
"G";"47.54";"LV-a";1
"G";"47.54";"LV-b";1
"G";"47.54";"MV";58
"G";"47.59";"LV-a";18
"G";"47.59";"LV-b";14
"G";"47.59";"MV";197
"G";"47.61";"LV-a";5
"G";"47.61";"LV-b";0
"G";"47.61";"MV";7
"G";"47.62";"LV-a";11
"G";"47.62";"LV-b";3
"G";"47.62";"MV";15
"G";"47.63";"LV-a";0
"G";"47.63";"LV-b";0
"G";"47.63";"MV";1
"G";"47.64";"LV-a";7
"G";"47.64";"LV-b";5
"G";"47.64";"MV";108
"G";"47.65";"LV-a";0
"G";"47.65";"LV-b";2
"G";"47.65";"MV";20
"G";"47.71";"LV-a";33
"G";"47.71";"LV-b";32
"G";"47.71";"MV";90
"G";"47.72";"LV-a";11
"G";"47.72";"LV-b";5
"G";"47.72";"MV";6
"G";"47.73";"LV-a";37
"G";"47.73";"LV-b";0
"G";"47.73";"MV";5
"G";"47.74";"LV-a";6
"G";"47.74";"LV-b";1
"G";"47.74";"MV";1
"G";"47.75";"LV-a";9
"G";"47.75";"LV-b";4
"G";"47.75";"MV";9
"G";"47.76";"LV-a";24
"G";"47.76";"LV-b";5
"G";"47.76";"MV";18
"G";"47.77";"LV-a";7
"G";"47.77";"LV-b";1
"G";"47.77";"MV";4
"G";"47.78";"LV-a";36
"G";"47.78";"LV-b";9
"G";"47.78";"MV";41
"G";"47.79";"LV-a";10
"G";"47.79";"LV-b";0
"G";"47.79";"MV";3
"G";"47.81";"LV-a";6
"G";"47.81";"LV-b";2
"G";"47.81";"MV";2
"G";"47.82";"LV-a";1
"G";"47.82";"LV-b";0
"G";"47.82";"MV";0
"G";"47.89";"LV-a";2
"G";"47.89";"LV-b";1
"G";"47.89";"MV";2
"G";"47.91";"LV-a";2
"G";"47.91";"LV-b";1
"G";"47.91";"MV";40
"G";"47.99";"LV-a";10
"G";"47.99";"LV-b";0
"G";"47.99";"MV";3
"H";"49.10";"LV-a";6
"H";"49.10";"LV-b";10
"H";"49.10";"MV";198
"H";"49.20";"LV-a";12
"H";"49.20";"LV-b";0
"H";"49.20";"MV";5
"H";"49.31";"LV-a";0
"H";"49.31";"LV-b";4
"H";"49.31";"MV";424
"H";"49.32";"LV-a";4
"H";"49.32";"LV-b";0
"H";"49.32";"MV";1
"H";"49.39";"LV-a";1
"H";"49.39";"LV-b";7
"H";"49.39";"MV";425
"H";"49.41";"LV-a";10
"H";"49.41";"LV-b";12
"H";"49.41";"MV";230
"H";"49.42";"LV-a";1
"H";"49.42";"LV-b";1
"H";"49.42";"MV";3
"H";"49.50";"LV-a";0
"H";"49.50";"LV-b";2
"H";"49.50";"MV";79
"H";"50.10";"LV-a";0
"H";"50.10";"LV-b";0
"H";"50.10";"MV";2
"H";"50.20";"LV-a";0
"H";"50.20";"LV-b";0
"H";"50.20";"MV";4
"H";"50.30";"LV-a";0
"H";"50.30";"LV-b";0
"H";"50.30";"MV";1
"H";"50.40";"LV-a";0
"H";"50.40";"LV-b";1
"H";"50.40";"MV";4
"H";"51.10";"LV-a";0
"H";"51.10";"LV-b";0
"H";"51.10";"MV";24
"H";"51.21";"LV-a";0
"H";"51.21";"LV-b";1
"H";"51.21";"MV";0
"H";"52.10";"LV-a";2
"H";"52.10";"LV-b";16
"H";"52.10";"MV";719
"H";"52.21";"LV-a";3
"H";"52.21";"LV-b";8
"H";"52.21";"MV";204
"H";"52.22";"LV-a";0
"H";"52.22";"LV-b";1
"H";"52.22";"MV";108
"H";"52.23";"LV-a";0
"H";"52.23";"LV-b";1
"H";"52.23";"MV";67
"H";"52.24";"LV-a";1
"H";"52.24";"LV-b";1
"H";"52.24";"MV";51
"H";"52.29";"LV-a";2
"H";"52.29";"LV-b";11
"H";"52.29";"MV";153
"H";"53.10";"LV-a";9
"H";"53.10";"LV-b";5
"H";"53.10";"MV";57
"H";"53.20";"LV-a";0
"H";"53.20";"LV-b";1
"H";"53.20";"MV";2
"I";"55.10";"LV-a";43
"I";"55.10";"LV-b";35
"I";"55.10";"MV";792
"I";"55.20";"LV-a";17
"I";"55.20";"LV-b";6
"I";"55.20";"MV";284
"I";"55.30";"LV-a";4
"I";"55.30";"LV-b";22
"I";"55.30";"MV";217
"I";"55.90";"LV-a";3
"I";"55.90";"LV-b";11
"I";"55.90";"MV";62
"I";"56.10";"LV-a";170
"I";"56.10";"LV-b";76
"I";"56.10";"MV";190
"I";"56.21";"LV-a";6
"I";"56.21";"LV-b";5
"I";"56.21";"MV";16
"I";"56.29";"LV-a";5
"I";"56.29";"LV-b";3
"I";"56.29";"MV";199
"I";"56.30";"LV-a";39
"I";"56.30";"LV-b";11
"I";"56.30";"MV";8
"J";"58.11";"LV-a";2
"J";"58.11";"LV-b";0
"J";"58.11";"MV";8
"J";"58.12";"LV-a";0
"J";"58.12";"LV-b";0
"J";"58.12";"MV";1
"J";"58.13";"LV-a";3
"J";"58.13";"LV-b";1
"J";"58.13";"MV";29
"J";"58.14";"LV-a";1
"J";"58.14";"LV-b";1
"J";"58.14";"MV";13
"J";"58.19";"LV-a";0
"J";"58.19";"LV-b";0
"J";"58.19";"MV";7
"J";"58.21";"LV-a";0
"J";"58.21";"LV-b";0
"J";"58.21";"MV";1
"J";"58.29";"LV-a";3
"J";"58.29";"LV-b";0
"J";"58.29";"MV";14
"J";"59.11";"LV-a";2
"J";"59.11";"LV-b";0
"J";"59.11";"MV";17
"J";"59.12";"LV-a";1
"J";"59.12";"LV-b";1
"J";"59.12";"MV";26
"J";"59.13";"LV-a";0
"J";"59.13";"LV-b";0
"J";"59.13";"MV";7
"J";"59.14";"LV-a";0
"J";"59.14";"LV-b";2
"J";"59.14";"MV";124
"J";"59.20";"LV-a";0
"J";"59.20";"LV-b";0
"J";"59.20";"MV";3
"J";"60.10";"LV-a";1
"J";"60.10";"LV-b";1
"J";"60.10";"MV";5
"J";"60.20";"LV-a";0
"J";"60.20";"LV-b";0
"J";"60.20";"MV";36
"J";"61.10";"LV-a";4
"J";"61.10";"LV-b";3
"J";"61.10";"MV";294
"J";"61.20";"LV-a";2
"J";"61.20";"LV-b";6
"J";"61.20";"MV";119
"J";"61.30";"LV-a";0
"J";"61.30";"LV-b";0
"J";"61.30";"MV";7
"J";"61.90";"LV-a";4
"J";"61.90";"LV-b";1
"J";"61.90";"MV";100
"J";"62.01";"LV-a";11
"J";"62.01";"LV-b";2
"J";"62.01";"MV";13
"J";"62.02";"LV-a";16
"J";"62.02";"LV-b";1
"J";"62.02";"MV";113
"J";"62.03";"LV-a";0
"J";"62.03";"LV-b";0
"J";"62.03";"MV";16
"J";"62.09";"LV-a";1
"J";"62.09";"LV-b";0
"J";"62.09";"MV";4
"J";"63.11";"LV-a";1
"J";"63.11";"LV-b";3
"J";"63.11";"MV";88
"J";"63.12";"LV-a";1
"J";"63.12";"LV-b";0
"J";"63.12";"MV";1
"J";"63.91";"LV-a";1
"J";"63.91";"LV-b";0
"J";"63.91";"MV";1
"J";"63.99";"LV-a";0
"J";"63.99";"LV-b";1
"J";"63.99";"MV";2
"K";"64.11";"LV-a";0
"K";"64.11";"LV-b";0
"K";"64.11";"MV";15
"K";"64.19";"LV-a";33
"K";"64.19";"LV-b";24
"K";"64.19";"MV";272
"K";"64.20";"LV-a";35
"K";"64.20";"LV-b";17
"K";"64.20";"MV";416
"K";"64.30";"LV-a";8
"K";"64.30";"LV-b";0
"K";"64.30";"MV";65
"K";"64.91";"LV-a";0
"K";"64.91";"LV-b";1
"K";"64.91";"MV";14
"K";"64.92";"LV-a";5
"K";"64.92";"LV-b";0
"K";"64.92";"MV";23
"K";"64.99";"LV-a";0
"K";"64.99";"LV-b";0
"K";"64.99";"MV";3
"K";"65.11";"LV-a";3
"K";"65.11";"LV-b";0
"K";"65.11";"MV";39
"K";"65.12";"LV-a";7
"K";"65.12";"LV-b";7
"K";"65.12";"MV";90
"K";"65.20";"LV-a";0
"K";"65.20";"LV-b";0
"K";"65.20";"MV";5
"K";"65.30";"LV-a";0
"K";"65.30";"LV-b";0
"K";"65.30";"MV";1
"K";"66.11";"LV-a";0
"K";"66.11";"LV-b";0
"K";"66.11";"MV";4
"K";"66.12";"LV-a";0
"K";"66.12";"LV-b";0
"K";"66.12";"MV";1
"K";"66.19";"LV-a";23
"K";"66.19";"LV-b";1
