"Power_level";"Section";"Class";"Mean";"Sd"
"MV";"G";"46.76";33526,7521296565;12162,6691632703
"LV-a";"G";"46.77";389,122032645139;736,748904789493
"MV";"G";"46.77";113561,218929517;23644,3937717414
"LV-a";"G";"46.90";1408,7898249955;1003,23899735034
"LV-b";"G";"46.90";2844,540730351;3105,19724623749
"MV";"G";"46.90";30403,4206940488;9332,14292754228
"LV-a";"G";"47.11";3873,27546421603;1173,28756123892
"LV-b";"G";"47.11";37397,4517660371;11150,0956854004
"MV";"G";"47.11";112383,872114527;37175,8163874282
"LV-b";"G";"47.19";17155,3059145375;18529,5076373466
"MV";"G";"47.19";112530,736849341;55838,9980607558
"LV-a";"G";"47.21";2823,97416453012;980,516579680775
"LV-b";"G";"47.21";17388,1574707668;7967,46607668553
"MV";"G";"47.21";116390,010270029;26825,1132266947
"LV-a";"G";"47.22";3377,05393948334;1497,75986079314
"LV-b";"G";"47.22";12307,5166482455;6530,10380645137
"MV";"G";"47.22";23114,3959195181;7617,20411476561
"LV-a";"G";"47.23";2575,54322829037;1518,40162603565
"MV";"G";"47.23";56466,487636986;10925,0250267924
"LV-a";"G";"47.24";5046,61733825747;1996,46167076324
"LV-b";"G";"47.24";9334,70627142296;5733,09429879095
"MV";"G";"47.24";37849,1109114824;24573,633530199
"LV-a";"G";"47.25";1469,83784112158;607,174990990263
"LV-b";"G";"47.25";4841,55970835361;6242,32573304564
"MV";"G";"47.25";39193,7524646532;13350,3437869695
"LV-a";"G";"47.26";1744,90365374665;1337,66940243699
"MV";"G";"47.26";389282,155843201;148018,838727973
"LV-a";"G";"47.29";2478,60563442507;1064,85744296202
"LV-b";"G";"47.29";19330,9704338569;11629,1816479851
"MV";"G";"47.29";62957,5205473363;18186,464893233
"LV-a";"G";"47.30";2389,1579006356;1153,29875863475
"LV-b";"G";"47.30";15969,4872412598;2770,10906610945
"MV";"G";"47.30";50071,8156337042;6314,14184758447
"LV-a";"G";"47.41";1582,07895373472;726,117393926424
"LV-b";"G";"47.41";15655,8918101981;7143,78369635571
"MV";"G";"47.41";48828,4238256055;29712,5857842537
"LV-a";"G";"47.42";42,3177447052089;188,218587555394
"MV";"G";"47.42";39152,8448185691;4534,16301501317
"LV-b";"G";"47.43";18132,7086875927;19096,5661196995
"MV";"G";"47.43";52452,6974053365;30570,9707305276
"LV-a";"G";"47.51";575,863513214013;652,027749455137
"LV-b";"G";"47.51";21238,4193032509;17424,8337613103
"MV";"G";"47.51";58464,3370882841;24179,7640271862
"LV-a";"G";"47.52";2236,8037313354;1494,2257546173
"LV-b";"G";"47.52";20887,7448578903;17306,8597153264
"MV";"G";"47.52";58923,2328970788;33215,9376793461
"LV-a";"G";"47.53";1377,3080791725;1749,99429488433
"LV-b";"G";"47.53";14910,1034781362;14870,2859339803
"MV";"G";"47.53";213638,862769397;75395,6928213797
"LV-a";"G";"47.54";4612,20401365618;6136,04148227152
"LV-b";"G";"47.54";54324,1171203495;35428,6994327022
"MV";"G";"47.54";46607,5149955288;25171,3996293621
"LV-a";"G";"47.59";2102,51392170063;1502,63115930243
"LV-b";"G";"47.59";13050,705010566;11268,6288411862
"MV";"G";"47.59";51794,7854340442;31023,8474290606
"LV-a";"G";"47.61";899,674876958546;651,807140069089
"MV";"G";"47.61";30449,2405951956;19170,3971728627
"LV-a";"G";"47.62";1271,97950481951;918,020140347118
"LV-b";"G";"47.62";9159,4023874451;8365,0995228577
"MV";"G";"47.62";98698,9313793063;36800,2835382441
"MV";"G";"47.63";83802,8320194174;33501,6046900311
"LV-a";"G";"47.64";2475,36671077994;2191,37390991937
"LV-b";"G";"47.64";6040,88996103079;3858,12275539322
"MV";"G";"47.64";50113,9933319219;32119,6849771451
"LV-b";"G";"47.65";13700,8564718723;11229,3131191593
"MV";"G";"47.65";46854,0259403926;27907,6070661534
"LV-a";"G";"47.71";1981,99394757598;1659,04311137721
"LV-b";"G";"47.71";12235,0981498057;10471,414540005
"MV";"G";"47.71";49610,0813336962;28593,2943465998
"LV-a";"G";"47.72";1134,14470667035;1028,49029462043
"LV-b";"G";"47.72";10564,3513193628;9745,31971035577
"MV";"G";"47.72";73366,6023204751;31558,0632782245
"LV-a";"G";"47.73";2409,93659282061;1797,0147932533
"MV";"G";"47.73";83993,1774641117;26442,896310502
