"Power_level";"Section";"Class";"Energy"
"MV";"C";"20.13";6617872,9350033
"MV";"C";"20.14";3120935,1064821
"MV";"C";"20.15";1751638,82346985
"MV";"C";"20.16";3178732,7069798
"MV";"C";"20.17";702852,106479256
"MV";"C";"20.20";1432112,09632693
"MV";"C";"20.30";637463,04187314
"MV";"C";"20.41";4004994,8580533
"MV";"C";"20.42";1197215,25797131
"MV";"C";"20.51";1792300,9470856
"MV";"C";"20.52";2398626,67758461
"MV";"C";"20.53";1131447,341121
"MV";"C";"20.59";3728657,6715161
"MV";"C";"20.60";9122041,87564461
"MV";"C";"21.10";4463391,144092
"MV";"C";"21.20";2343969,5963272
"MV";"C";"22.1";1695641,76804566
"MV";"C";"22.2";1530732,68887156
"MV";"C";"23.11";1431633,89471302
"MV";"C";"23.13";6961597,1749845
"MV";"C";"23.19";4094958,160837
"MV";"C";"23.4/23.3";456919,1540197
"MV";"C";"23.5";3905184,948835
"MV";"C";"23.6";354118,727629338
"MV";"C";"23.9";533023,99615044
"MV";"C";"24.10";1362969,18747147
"MV";"C";"24.20";1373650,15577612
"MV";"C";"24.3";1061418,52431252
"MV";"C";"24.42";2794101,93842334
"MV";"C";"24.51";3866217,28084651
"MV";"C";"24.52";2169628,07470224
"MV";"C";"24.53";1953716,26440531
"MV";"C";"24.5";2507379,0906143
"MV";"C";"25.12";386046,352863557
"MV";"C";"25.2";701388,17820347
"MV";"C";"25.50";822988,83151847
"MV";"C";"25.61";781069,44570911
"MV";"C";"25.62";587304,86847893
"MV";"C";"25.7";489852,80463297
"MV";"C";"25.92";3456628,356553
"MV";"C";"25.99";869517,40342907
"MV";"C";"26.40";2097297,2239913
"MV";"C";"26.5";1817994,7971274
"MV";"C";"27.1";1196924,45507415
"MV";"C";"27.20";10257154,4419629
"MV";"C";"27.3";4876956,1681835
